book,chapter,startVerse,endVerse,text
Matthew,5,14,16,Let your light so shine before men.
Matthew,11,28,30,Come unto me, all ye that labour and are heavy laden, and I will give you rest.
Matthew,16,15,19,Jesus said, I will give unto thee the keys of the kingdom.
Matthew,22,36,39,Thou shalt love the Lord thy God. Thou shalt love thy neighbour.
Luke,2,10,12,For unto you is born this day in the city of David a Saviour, which is Christ the Lord.
Luke,22,19,20,Jesus Christ commanded, partake of the sacrament in remembrance of me.
Luke,24,36,39,For a spirit hath not flesh and bones, as ye see me have.
John,3,5,5,Except a man be born of water and of the Spirit, he cannot enter into the kingdom of God.
John,3,16,16,For God so loved the world, that he gave his only begotten Son.
John,7,17,17,If any man will do his will, he shall know of the doctrine.
John,17,3,3,And this is life eternal, that they might know thee the only true God, and Jesus Christ.
1 Corinthians,6,19,20,Your body is the temple of the Holy Ghost.
1 Corinthians,11,11,11,Neither is the man without the woman, neither the woman without the man, in the Lord.
1 Corinthians,15,20,22,As in Adam all die, even so in Christ shall all be made alive.
1 Corinthians,15,40,42,In the Resurrection, there are three degrees of glory.
Ephesians,1,10,10,In the dispensation of the fulness of times he might gather together in one all things in Christ.
Ephesians,2,19,20,The Church is built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone.
2 Thessalonians,2,1,3,The day of Christ shall not come, except there come a falling away first.
2 Timothy,3,15,17,The holy scriptures are able to make thee wise unto salvation.
Hebrews,12,9,9,Heavenly Father is the Father of spirits.
James,1,5,6,If any of you lack wisdom, let him ask of God.
James,2,17,18,Faith, if it hath not works, is dead.
1 Peter,4,6,6,The gospel was preached also to them that are dead.
Revelation,20,12,12,And the dead were judged according to their works.
